,"[2,1]","[3,1]","[3,2]","[4,1]","[4,2]","[4,3]"
518,0,0,0,0,0,1
519,0,3,3,1,1,0
520,0,0,5,0,35,0
521,0,0,3,0,11,0
522,2,1,2,3,11,10
523,0,0,2,0,4,62
524,2,2,2,6,17,0
525,1,1,2,2,19,15
526,1,1,1,3,9,8
527,0,0,0,0,0,0
528,3,1,0,4,0,12
529,0,2,2,3,3,4
530,0,2,2,27,10,0
531,0,3,3,16,17,5
532,0,1,1,7,7,9
533,1,1,3,0,0,0
534,2,3,0,1,0,5
535,2,0,1,4,1,14
536,2,1,0,0,0,0
537,1,5,2,5,0,10
538,0,0,0,0,0,0
539,3,2,0,4,0,17
540,1,3,0,8,14,14
541,0,0,0,0,0,0
542,0,0,8,0,13,15
543,1,0,1,13,7,16
544,0,0,1,0,6,22
545,2,1,2,18,1,7
546,0,3,3,1,1,0
547,0,0,0,0,5,5
548,1,0,0,1,1,2
549,2,2,0,0,0,6
550,0,0,1,0,7,13
551,0,0,2,0,24,37
552,0,0,2,0,6,0
553,0,0,1,0,1,2
554,2,4,0,0,0,0
555,0,0,0,0,0,4
556,3,3,0,3,0,2
557,0,0,0,0,29,33
558,1,2,3,0,0,0
559,1,2,1,20,6,45
560,1,1,1,0,0,0
561,1,2,2,24,17,0
562,1,1,3,0,0,0
563,0,0,5,0,14,0
564,0,3,3,6,6,4
565,2,1,0,12,0,21
566,1,2,0,3,8,15
567,0,2,2,4,4,7
568,0,0,0,0,0,21
569,1,2,1,0,0,0
570,0,0,3,0,2,0
571,2,1,0,1,0,8
572,2,5,3,16,9,0
573,0,0,0,0,0,0
574,1,0,5,1,0,3
575,0,0,2,0,3,20
576,0,0,4,0,25,29
577,0,0,1,0,27,30
578,2,2,0,10,0,11
579,1,3,8,0,12,0
580,1,0,1,5,4,7
581,3,0,0,12,0,18
582,0,0,3,0,11,8
583,1,2,3,16,7,19
584,0,0,3,0,7,0
585,0,1,1,4,1,3
586,1,5,5,0,2,0
587,0,0,12,0,13,0
588,1,1,1,4,12,22
589,3,3,0,19,0,31
590,0,0,0,0,27,27
591,4,1,0,0,0,0
592,2,2,0,20,0,14
593,1,0,1,1,0,1
594,0,0,2,0,0,0
595,0,0,0,0,0,31
596,1,1,0,4,0,4
597,1,1,2,11,2,0
598,1,8,4,8,10,11
599,0,2,2,11,10,0
600,0,0,2,0,3,16
601,0,0,9,0,7,0
602,2,2,0,8,12,12
603,0,3,3,0,0,0
604,0,1,1,2,6,4
605,1,3,3,4,19,12
606,0,6,6,7,9,2
607,0,1,1,10,3,9
608,1,0,3,1,0,1
609,0,0,3,0,4,0
610,0,0,0,0,0,0
611,0,1,1,6,17,14
612,0,0,0,0,0,3
613,0,0,0,0,0,0
614,2,4,0,1,0,0
615,0,2,2,8,10,0
616,3,2,0,8,0,0
617,2,3,0,5,0,18
618,1,2,1,12,5,10
619,1,2,4,17,28,0
620,0,0,0,0,0,4
621,1,1,3,2,0,1
622,0,0,2,0,0,0
623,1,2,1,0,0,0
624,1,4,6,16,14,0
625,0,0,0,0,2,2
626,2,3,4,4,4,0
627,2,0,1,8,2,13
628,1,5,0,12,0,4
629,0,0,1,0,0,0
630,0,0,0,0,0,0
631,0,0,0,0,0,0
632,1,1,0,2,0,6
633,1,1,0,1,16,16
634,1,1,0,0,0,0
635,1,5,1,1,15,9
636,0,0,5,0,8,11
637,0,0,1,0,2,7
638,1,2,0,1,0,0
639,0,6,6,17,17,0
640,1,2,6,7,6,10
641,1,1,1,0,1,3
642,1,3,1,23,12,0
643,1,1,0,0,1,2
644,1,2,0,5,0,9
645,0,2,2,1,1,0
646,0,2,2,1,1,0
647,1,3,3,2,0,3
648,1,0,0,10,10,11
649,2,2,5,11,6,0
650,0,0,3,0,22,0
651,2,1,1,9,5,14
652,1,5,3,27,12,0
653,1,0,1,1,1,2
654,1,2,2,12,14,0
